feature,cluster_id,distribution,sumsquare_error
alcohol,0,norm,10.265230530347882
alcohol,1,lognorm,6.675922961481452
alcohol,2,norm,9.627811507119976
malic_acid,0,lognorm,11.860294490916296
malic_acid,1,lognorm,5.624281496264382
malic_acid,2,lognorm,10.217337547711507
ash,0,norm,5.315234282863769
ash,1,norm,3.8764781132833925
ash,2,gamma,18.414526437050128
alcalinity_of_ash,0,lognorm,7.759449865095132
alcalinity_of_ash,1,lognorm,10.981639080906096
alcalinity_of_ash,2,gamma,40.83015799803582
magnesium,0,gamma,15.867170009867442
magnesium,1,lognorm,10.563601746952626
magnesium,2,gamma,23.27846947593842
total_phenols,0,gamma,12.573224528499598
total_phenols,1,gamma,9.283125129364347
total_phenols,2,lognorm,7.70961989500205
flavanoids,0,gamma,9.284363890482219
flavanoids,1,lognorm,3.8147695332074996
flavanoids,2,lognorm,12.678061829279594
nonflavanoid_phenols,0,lognorm,20.868953894675734
nonflavanoid_phenols,1,gamma,16.69414631124915
nonflavanoid_phenols,2,powerlaw,32.95064271253461
proanthocyanins,0,norm,16.846612351421232
proanthocyanins,1,lognorm,8.974035962466688
proanthocyanins,2,lognorm,10.39364915176183
color_intensity,0,lognorm,7.387045348956152
color_intensity,1,lognorm,5.362083941168359
color_intensity,2,gamma,9.597600175737934
hue,0,norm,19.46649045704617
hue,1,gamma,6.160877095541415
hue,2,gamma,17.2666436248268
od280/od315_of_diluted_wines,0,gamma,12.279526292625572
od280/od315_of_diluted_wines,1,norm,7.981956830616956
od280/od315_of_diluted_wines,2,norm,13.475969909587498
proline,0,norm,10.058406307861604
proline,1,gamma,9.202481912497708
proline,2,gamma,12.472303406911958
